record_id,osm_type,osm_id,state,state_abbr,category_shop,name,brand,operator,website,phone,email,address,addr_city,addr_state,addr_postcode,lat,lon,opening_hours,source,collected_at,excluded,excluded_reason,quality_score,quality_flags
node/4886317575,node,4886317575,Washington,WA,office:marketing,Odd Dog Media,,,https://odd.dog/,12065698998,info@odddogmedia.com,"174 Roy Street, Seattle, WA, 98109",Seattle,WA,98109,47.6255756,-122.352988,Mo-Fr 08:30-18:00,osm_overpass,2025-12-29T22:27:10+00:00,0,,100,
node/5150788340,node,5150788340,Washington,WA,office:marketing,Steelsmith Haus,,,https://steelsmithhaus.com/,12065391890,,"1546 Northwest 56th Street, Seattle, WA, 98107",Seattle,WA,98107,47.6696092,-122.3782502,Mo-Fr 09:00-17:00,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
node/5647121832,node,5647121832,Washington,WA,office:advertising_agency,Scott Keever SEO,,,https://scottkeeverseo.com/seattle-seo/,12062024983,scott@scottkeeverseo.com,"999 3rd Avenue, Seattle, WA, 98104",Seattle,WA,98104,47.6051789,-122.3339252,Mo-Fr 09:00-18:00,osm_overpass,2025-12-29T22:27:10+00:00,0,,100,
node/8700199996,node,8700199996,Washington,WA,office:advertising_agency,Stambaugh Designs - Web Design & SEO,,,https://www.stambaughdesigns.co,13603835662,,"1505 North State Street, Bellingham, 98225",Bellingham,WA,98225,48.7509403,-122.473694,,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
node/9733697908,node,9733697908,Washington,WA,office:advertising_agency,Sara Nelson Design,,,https://saranelson.com/,15095454584,,"4309 West 27th Place, Kennewick, WA, 99338",Kennewick,WA,99338,46.1854755,-119.180023,,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
node/10817227816,node,10817227816,Washington,WA,office:advertising_agency,Searcht Digital Marketing,,,https://www.getsearcht.com,14252004107,,"15117 Main Street, Mill Creek, WA, 98012",Mill Creek,WA,98012,47.8607426,-122.2202079,Mo-Fr 08:00-18:00; Sa 10:00-16:00,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
node/11266193022,node,11266193022,Washington,WA,office:advertising_agency,Xenion Digital,,,https://xeniondigital.com,12063852204,,"10402 Idlewild Road Southwest, Lakewood, WA, 98498",Lakewood,WA,98498,47.1628436,-122.5450831,,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
node/12101176409,node,12101176409,Washington,WA,office:advertising_agency,Bullseye Creative,,,https://bullseyecreative.net/,12063526264,,"317 North 148th Street, Shoreline, WA, 98133",Shoreline,WA,98133,47.7357796,-122.3548684,,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
node/12517893651,node,12517893651,Washington,WA,office:advertising_agency,Copacino+Fujikado,,,https://www.copacino.com/,12064676610,,"1425 4th Avenue, Seattle, WA, 98101",Seattle,WA,98101,47.6097306,-122.3367553,Mo-Fr 08:00-17:30,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
node/13186803541,node,13186803541,Washington,WA,office:advertising_agency,David White Marketing Services,,,https://white.am/,12532359104,,2367 Tacoma Avenue South,,WA,,47.2400663,-122.4413297,,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
way/1337642970,way,1337642970,Washington,WA,office:advertising_agency,WormWood SEO,,,https://www.wormwoodseo.com,14253697565,,"21419 SE 34th Pl, Sammamish, WA, 98075",Sammamish,WA,98075,47.578608,-122.0527013,Mo-Fr 09:00-17:00,osm_overpass,2025-12-29T22:27:10+00:00,0,,85,missing_email
